masked_customer_id,y_true,risk_score,risk_rank,risk_percentile,risk_band,review_priority,action_candidate,score_month,model_version,policy_version
0f75afc8...,1,0.99909220125,1,0.0002179062262346022,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
3c1d5685...,1,0.99900253375,2,0.0004358124524692044,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
1ea68239...,1,0.99900048125,3,0.0006537186787038066,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
c5c6a560...,1,0.99899696375,4,0.0008716249049384088,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
08233ac9...,1,0.998995825,5,0.001089531131173011,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
84aedebe...,1,0.99899495625,6,0.001307437357407613,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
740642b7...,1,0.99899467,7,0.0015253435836422155,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
25e4f99c...,1,0.9989877975,8,0.0017432498098768176,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
93753f53...,1,0.99898009375,9,0.0019611560361114198,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
a825ae8a...,1,0.99897865625,10,0.002179062262346022,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
c7ec9054...,1,0.9989657075,11,0.002396968488580624,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
ac4807bb...,1,0.99896496625,12,0.002614874714815226,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
b9e5efdd...,1,0.9989645125,13,0.002832780941049829,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
002e53f2...,1,0.9989643925,14,0.003050687167284431,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
6680f35e...,1,0.998962955,15,0.003268593393519033,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
296d6b47...,1,0.9989623925,16,0.0034864996197536352,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
e7ad5b4a...,1,0.99895177875,17,0.0037044058459882374,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
8856816d...,1,0.998948975,18,0.0039223120722228395,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
5c9d1bed...,1,0.9989455225,19,0.004140218298457442,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
a00bd278...,1,0.99894016375,20,0.004358124524692044,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
86bf8a6f...,1,0.99893632375,21,0.004576030750926646,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
30b9c54a...,1,0.99893427375,22,0.004793936977161248,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
67b5d0c1...,1,0.99892879125,23,0.005011843203395851,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
083cb543...,1,0.9989259075,24,0.005229749429630452,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
22075270...,1,0.99892426125,25,0.005447655655865055,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
de875440...,1,0.998920035,26,0.005665561882099658,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
57d0accd...,1,0.99891819875,27,0.005883468108334259,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
92607bbd...,1,0.99891713625,28,0.006101374334568862,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
45e9a1c6...,1,0.99891441875,29,0.006319280560803464,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
93c3e926...,1,0.9989135,30,0.006537186787038066,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
88722c0a...,1,0.99891345125,31,0.006755093013272668,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
cc1fa466...,1,0.9989133,32,0.0069729992395072705,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
5101f0ec...,1,0.99891312375,33,0.007190905465741873,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
1308ea04...,1,0.99891265125,34,0.007408811691976475,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
9f80076a...,1,0.998908155,35,0.007626717918211077,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
76afe685...,1,0.9989058175,36,0.007844624144445679,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
a47fb9e6...,1,0.9989047125,37,0.008062530370680282,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
e42eaad0...,1,0.99890366625,38,0.008280436596914884,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
ede3e044...,1,0.99890192125,39,0.008498342823149485,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
d9d2a685...,1,0.99889874625,40,0.008716249049384088,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
27b4a718...,1,0.99889869,41,0.00893415527561869,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
9ac33118...,1,0.99889700875,42,0.009152061501853293,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
ac0aafda...,1,0.99889657,43,0.009369967728087895,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
42b4b967...,1,0.99888954875,44,0.009587873954322496,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
9f370570...,1,0.9988879425,45,0.009805780180557099,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
b6edd455...,1,0.99888712,46,0.010023686406791701,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
5e1abf1d...,1,0.99888536875,47,0.010241592633026304,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
ecacaebb...,1,0.99888474125,48,0.010459498859260905,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
72acf2c3...,1,0.99888282375,49,0.010677405085495507,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
6c6c2635...,1,0.99888268125,50,0.01089531131173011,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
147ee42c...,1,0.99888088625,51,0.011113217537964713,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
a14f853a...,1,0.99887961875,52,0.011331123764199315,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
829a4e7f...,1,0.99887871,53,0.011549029990433916,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
0798f23e...,1,0.99887828125,54,0.011766936216668519,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
fea495f5...,1,0.99887564875,55,0.011984842442903121,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
07a6cd11...,1,0.9988747525,56,0.012202748669137724,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
0e5104a6...,1,0.99887237,57,0.012420654895372325,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
fcdfd8f3...,1,0.99886989375,58,0.012638561121606927,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
e010cf1b...,1,0.99886844125,59,0.01285646734784153,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
8730be29...,1,0.99886422625,60,0.013074373574076132,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
76214c58...,1,0.99886229,61,0.013292279800310735,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
911459dc...,1,0.9988616025,62,0.013510186026545336,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
4fdd72db...,1,0.9988608525,63,0.013728092252779938,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
367c18ae...,1,0.99885983125,64,0.013945998479014541,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
2c6387dc...,1,0.99885847875,65,0.014163904705249144,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
69e322d4...,1,0.9988583925,66,0.014381810931483746,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
2a1a620b...,1,0.9988581425,67,0.014599717157718347,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
a050f131...,1,0.9988538275,68,0.01481762338395295,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
aeabdd09...,1,0.99885298625,69,0.015035529610187552,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
a7ebc605...,1,0.998852415,70,0.015253435836422155,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
b17d1957...,1,0.99885229125,71,0.015471342062656756,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
2dc15d91...,1,0.9988512675,72,0.015689248288891358,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
52cc460b...,1,0.99884954875,73,0.01590715451512596,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
55dd1285...,1,0.99884927,74,0.016125060741360563,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
29516bf7...,1,0.99884671125,75,0.016342966967595164,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
563bd241...,1,0.9988465375,76,0.01656087319382977,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
b4d88899...,1,0.99884557125,77,0.01677877942006437,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
163fd903...,1,0.9988432425,78,0.01699668564629897,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
6bd5db84...,1,0.99884300875,79,0.017214591872533574,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
ab86856b...,1,0.998842895,80,0.017432498098768175,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
df58518a...,1,0.998839435,81,0.01765040432500278,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
4760edf5...,1,0.99883904625,82,0.01786831055123738,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
f2df7052...,1,0.9988383512500002,83,0.01808621677747198,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
c84f0519...,1,0.99883473375,84,0.018304123003706586,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
114c9b26...,1,0.9988344725,85,0.018522029229941187,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
67f54277...,1,0.99883337375,86,0.01873993545617579,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
2ebbdf08...,1,0.9988324475,87,0.01895784168241039,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
938f20f1...,1,0.99883225625,88,0.019175747908644993,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
ae5f9e00...,1,0.99883158375,89,0.019393654134879597,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
afdec820...,1,0.9988314975,90,0.019611560361114198,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
b87d204d...,1,0.998830445,91,0.019829466587348802,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
1419370f...,1,0.998830065,92,0.020047372813583403,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
128e2239...,1,0.99882797375,93,0.020265279039818004,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
c9ec7634...,1,0.99882717875,94,0.020483185266052608,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
9039e87f...,1,0.99882602625,95,0.02070109149228721,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
5d2f5a9a...,1,0.99882421,96,0.02091899771852181,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
a9b2be5c...,1,0.99882388125,97,0.021136903944756414,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
9be69f67...,1,0.99882331875,98,0.021354810170991015,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
1ea52cbc...,1,0.99882201375,99,0.02157271639722562,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
3c7696d0...,1,0.99882139125,100,0.02179062262346022,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
76351fca...,1,0.99882048125,101,0.02200852884969482,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
290a32ae...,1,0.99882021875,102,0.022226435075929425,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
d09978ef...,1,0.99881905,103,0.022444341302164026,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
be462f94...,1,0.9988181375,104,0.02266224752839863,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
5528b2dc...,1,0.9988164275,105,0.02288015375463323,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
10c8bda7...,1,0.99881565,106,0.023098059980867832,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
333327df...,1,0.99881564125,107,0.023315966207102436,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
ff435831...,1,0.99881418375,108,0.023533872433337037,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
91169d07...,1,0.99881211625,109,0.02375177865957164,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
3152f1a7...,1,0.998807285,110,0.023969684885806242,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
65fe3c26...,1,0.99880716125,111,0.024187591112040843,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
66c32710...,1,0.99880232375,112,0.024405497338275448,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
5b4d5242...,1,0.99880131125,113,0.02462340356451005,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
4b5f8ddd...,1,0.998800255,114,0.02484130979074465,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
8f220683...,1,0.99879905,115,0.025059216016979254,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
cbee9c98...,1,0.99879693875,116,0.025277122243213854,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
3708f2a2...,1,0.99879626875,117,0.02549502846944846,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
779bcbb5...,1,0.99879601,118,0.02571293469568306,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
b9e0c89a...,1,0.99879512625,119,0.02593084092191766,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
89b1f59a...,1,0.99879446875,120,0.026148747148152265,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
a881f782...,1,0.99879393375,121,0.026366653374386866,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
63202e8f...,1,0.9987936875,122,0.02658455960062147,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
c0e084a8...,1,0.99879322875,123,0.02680246582685607,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
4c55d22c...,1,0.9987912775,124,0.02702037205309067,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
415e606c...,1,0.99879033875,125,0.027238278279325276,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
5a6c4b73...,1,0.998788195,126,0.027456184505559877,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
3b7b573e...,1,0.9987866725,127,0.02767409073179448,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
bf3d58f9...,1,0.99878635875,128,0.027891996958029082,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
8b60019e...,1,0.99878607,129,0.028109903184263683,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
14b28320...,1,0.9987820275,130,0.028327809410498287,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
6d3c7f79...,1,0.99878034125,131,0.028545715636732888,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
dfce85a7...,1,0.99877981875,132,0.028763621862967492,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
30fe235f...,1,0.9987797525,133,0.028981528089202093,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
15ab6b67...,1,0.9987788725,134,0.029199434315436694,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
94b1876e...,1,0.9987759925,135,0.029417340541671298,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
0aab49a5...,1,0.9987747862500002,136,0.0296352467679059,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
916f0511...,1,0.9987740149999998,137,0.0298531529941405,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
33238df0...,1,0.998773515,138,0.030071059220375104,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
6d0a4f24...,1,0.9987735,139,0.030288965446609705,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
eb0928d1...,1,0.9987716875,140,0.03050687167284431,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
93972be4...,1,0.99876820125,141,0.03072477789907891,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
87bd90a4...,1,0.9987670075,142,0.03094268412531351,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
241bce17...,1,0.99876691375,143,0.031160590351548115,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
566e451b...,1,0.998765345,144,0.031378496577782716,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
32b128fd...,1,0.99876474625,145,0.03159640280401732,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
1b7e1623...,1,0.99876432875,146,0.03181430903025192,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
dd10439b...,1,0.9987641025,147,0.03203221525648652,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
d8a2523a...,1,0.99876395,148,0.03225012148272113,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
760b97ef...,1,0.9987636525,149,0.03246802770895573,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
ed4b4fdc...,1,0.9987632625,150,0.03268593393519033,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
849668e5...,1,0.99876325375,151,0.03290384016142493,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
f553d55a...,1,0.9987627812499998,152,0.03312174638765954,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
65074d80...,1,0.99876238,153,0.033339652613894134,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
c03ff449...,1,0.99876146125,154,0.03355755884012874,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
e5fc8d11...,1,0.99876015625,155,0.03377546506636334,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
b044fe65...,1,0.99875903625,156,0.03399337129259794,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
295172c0...,1,0.9987574225,157,0.034211277518832545,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
488b3dfc...,1,0.99875663125,158,0.03442918374506715,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
65b269b3...,1,0.9987564075,159,0.03464708997130175,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
efacd447...,1,0.9987560987500002,160,0.03486499619753635,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
117bee7d...,1,0.9987558325,161,0.035082902423770955,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
fa02d9bc...,1,0.99875545,162,0.03530080865000556,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
47a9d0dc...,1,0.99875458625,163,0.03551871487624016,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
1503f3a0...,1,0.9987499125,164,0.03573662110247476,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
9fb60683...,1,0.99874950875,165,0.035954527328709365,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
0db53fff...,1,0.99874921625,166,0.03617243355494396,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
3627c8c2...,1,0.9987491675,167,0.03639033978117857,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
6e05f527...,1,0.99874889,168,0.03660824600741317,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
a841942f...,1,0.9987479975,169,0.03682615223364777,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
3b2cf468...,1,0.99874762625,170,0.03704405845988237,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
ff1bda98...,1,0.9987474525,171,0.03726196468611698,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
3c5e3f42...,1,0.99874694,172,0.03747987091235158,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
c3ffcc78...,1,0.99874522875,173,0.03769777713858618,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
49cbc621...,1,0.99874457125,174,0.03791568336482078,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
e4a254c6...,1,0.99874074625,175,0.03813358959105539,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
c990e3f5...,1,0.99874072375,176,0.038351495817289985,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
4fc54200...,1,0.9987406775,177,0.03856940204352459,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
c9cebe91...,1,0.9987377725,178,0.038787308269759194,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
6e68f1a1...,1,0.99873754375,179,0.03900521449599379,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
49d876f7...,1,0.99873742875,180,0.039223120722228395,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
86e2b9a4...,1,0.9987368325,181,0.039441026948463,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
c7991cd2...,1,0.99873549875,182,0.039658933174697604,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
a40d0d6f...,1,0.998735435,183,0.0398768394009322,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
bea35966...,1,0.998735085,184,0.040094745627166806,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
da2b58d5...,1,0.99873385125,185,0.04031265185340141,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
b774c6dd...,1,0.9987333225,186,0.04053055807963601,Critical,1,Urgent manual review candidate,2018-03-31,best_equal_8models,policy_v1
