scenario,policy,review_rate,tp,fp,effective_review_count,avoided_loss,review_cost_total,friction_cost_total,operating_cost_total,net_benefit,net_benefit_per_effective_review
Aggressive,Top 1%,0.01,4589,1,4609.0,963.6899999999998,23.045,0.04,23.085,940.6049999999999,0.20408006075070512
Aggressive,Top 2%,0.02,9163,16,9483.0,1924.2299999999998,47.415,0.64,48.055,1876.1749999999997,0.19784614573447218
Aggressive,Top 3%,0.03,13723,45,14623.0,2881.8299999999995,73.115,1.8,74.91499999999999,2806.9149999999995,0.19195206182041985
Aggressive,Top 4%,0.04,18245,112,20485.0,3831.45,102.425,4.48,106.905,3724.5449999999996,0.1818181596289968
Aggressive,Top 5%,0.05,22742,204,26822.0,4775.82,134.11,8.16,142.27,4633.55,0.17275184549996273
Aggressive,Top 6%,0.06,27184,351,34204.0,5708.639999999999,171.02,14.040000000000001,185.06,5523.579999999999,0.1614892994971348
Aggressive,Top 7%,0.07,31568,556,42688.0,6629.28,213.44,22.240000000000002,235.68,6393.6,0.1497751124437781
Aggressive,Top 8%,0.08,35880,834,52560.0,7534.799999999999,262.8,33.36,296.16,7238.639999999999,0.1377214611872146
Aggressive,Top 9%,0.09,40133,1170,63533.0,8427.929999999998,317.665,46.800000000000004,364.46500000000003,8063.464999999998,0.12691774353485588
Aggressive,Top 10%,0.1,44326,1566,75646.0,9308.46,378.23,62.64,440.87,8867.59,0.11722483673955002
Aggressive,Top 11%,0.11,48454,2027,88994.0,10175.339999999998,444.97,81.08,526.0500000000001,9649.289999999999,0.10842629840213946
Aggressive,Top 12%,0.12,52473,2597,104413.0,11019.33,522.065,103.88,625.945,10393.385,0.09954110120387308
Aggressive,Top 13%,0.13,56366,3293,122226.0,11836.859999999999,611.13,131.72,742.85,11094.01,0.09076636722137679
Aggressive,Top 14%,0.14,60244,4004,140324.0,12651.239999999998,701.62,160.16,861.78,11789.459999999997,0.08401599156238418
Aggressive,Top 15%,0.15,63994,4843,160854.0,13438.739999999998,804.27,193.72,997.99,12440.749999999998,0.07734187524090168
Aggressive,Top 16%,0.16,67670,5757,182810.0,14210.699999999999,914.0500000000001,230.28,1144.3300000000002,13066.369999999999,0.07147513812154696
Aggressive,Top 17%,0.17,71205,6811,207425.0,14953.05,1037.125,272.44,1309.565,13643.484999999999,0.06577550922020006
Aggressive,Top 18%,0.18,74629,7976,234149.0,15672.089999999998,1170.7450000000001,319.04,1489.785,14182.304999999997,0.06056957322047071
Aggressive,Top 19%,0.19,77988,9206,262108.0,16377.48,1310.54,368.24,1678.78,14698.699999999999,0.05607879194835716
Aggressive,Top 20%,0.2,81176,10607,293316.0,17046.96,1466.58,424.28000000000003,1890.86,15156.099999999999,0.05167157604767554
Aggressive,Top 21%,0.21,84257,12115,326557.0,17693.969999999998,1632.785,484.6,2117.385,15576.584999999997,0.04769943685175941
Aggressive,Top 22%,0.22,87231,13730,361831.0,18318.51,1809.155,549.2,2358.355,15960.154999999999,0.04410941848542551
