simulation_type,policy,review_rate,scenario,tp,fp,effective_fp,review_count,effective_review_count,precision,capture_rate,ead,lgd,intervention_effect,review_cost,friction_cost,avoided_loss,review_cost_total,friction_cost_total,operating_cost_total,net_benefit,net_benefit_per_effective_review,review_scope_pct,scenario_label
weighted_nondefault_x20,Top 1%,0.01,Conservative,4589,1,20.0,4590,4609.0,0.9997821350762528,0.0386188440434914,1.0,0.3,0.1,0.02,0.01,137.67000000000002,92.18,0.2,92.38,45.290000000000006,0.0098264265567368,1.0,Conservative
weighted_nondefault_x20,Top 1%,0.01,Base,4589,1,20.0,4590,4609.0,0.9997821350762528,0.0386188440434914,1.0,0.5,0.2,0.01,0.005,458.9,46.09,0.1,46.190000000000005,412.71,0.0895443697114341,1.0,Base
weighted_nondefault_x20,Top 1%,0.01,Aggressive,4589,1,20.0,4590,4609.0,0.9997821350762528,0.0386188440434914,1.0,0.7,0.3,0.005,0.002,963.6899999999998,23.045,0.04,23.085,940.605,0.2040800607507051,1.0,Aggressive
weighted_nondefault_x20,Top 2%,0.02,Conservative,9163,16,320.0,9179,9483.0,0.9982568907288376,0.0771114552125761,1.0,0.3,0.1,0.02,0.01,274.89000000000004,189.66,3.2,192.86,82.03000000000004,0.0086502161763155,2.0,Conservative
weighted_nondefault_x20,Top 2%,0.02,Base,9163,16,320.0,9179,9483.0,0.9982568907288376,0.0771114552125761,1.0,0.5,0.2,0.01,0.005,916.3,94.83,1.6,96.43,819.87,0.0864568174628282,2.0,Base
weighted_nondefault_x20,Top 2%,0.02,Aggressive,9163,16,320.0,9179,9483.0,0.9982568907288376,0.0771114552125761,1.0,0.7,0.3,0.005,0.002,1924.23,47.415,0.64,48.055,1876.175,0.1978461457344721,2.0,Aggressive
weighted_nondefault_x20,Top 3%,0.03,Conservative,13723,45,900.0,13768,14623.0,0.9967315514235908,0.1154862490322146,1.0,0.3,0.1,0.02,0.01,411.69,292.46,9.0,301.46,110.23000000000002,0.0075381248717773,3.0,Conservative
weighted_nondefault_x20,Top 3%,0.03,Base,13723,45,900.0,13768,14623.0,0.9967315514235908,0.1154862490322146,1.0,0.5,0.2,0.01,0.005,1372.3000000000002,146.23,4.5,150.73,1221.5700000000002,0.0835375777884155,3.0,Base
weighted_nondefault_x20,Top 3%,0.03,Aggressive,13723,45,900.0,13768,14623.0,0.9967315514235908,0.1154862490322146,1.0,0.7,0.3,0.005,0.002,2881.8299999999995,73.115,1.8,74.91499999999999,2806.9149999999995,0.1919520618204198,3.0,Aggressive
weighted_nondefault_x20,Top 4%,0.04,Conservative,18245,112,2240.0,18357,20485.0,0.993898785204554,0.1535412529033561,1.0,0.3,0.1,0.02,0.01,547.35,409.7,22.4,432.1,115.25000000000004,0.0056260678545277,4.0,Conservative
weighted_nondefault_x20,Top 4%,0.04,Base,18245,112,2240.0,18357,20485.0,0.993898785204554,0.1535412529033561,1.0,0.5,0.2,0.01,0.005,1824.5,204.85,11.2,216.05,1608.45,0.0785184281181352,4.0,Base
weighted_nondefault_x20,Top 4%,0.04,Aggressive,18245,112,2240.0,18357,20485.0,0.993898785204554,0.1535412529033561,1.0,0.7,0.3,0.005,0.002,3831.45,102.425,4.48,106.905,3724.545,0.1818181596289968,4.0,Aggressive
weighted_nondefault_x20,Top 5%,0.05,Conservative,22742,204,4080.0,22946,26822.0,0.9911095615793604,0.1913858686504864,1.0,0.3,0.1,0.02,0.01,682.26,536.44,40.8,577.24,105.01999999999992,0.0039154425471627,5.0,Conservative
weighted_nondefault_x20,Top 5%,0.05,Base,22742,204,4080.0,22946,26822.0,0.9911095615793604,0.1913858686504864,1.0,0.5,0.2,0.01,0.005,2274.2000000000003,268.22,20.4,288.62,1985.58,0.0740280366863023,5.0,Base
