risk_decile,customers,observed_defaults,avg_risk_score,observed_default_rate,risk_decile_label
1,45892,44326,0.9641955363271104,0.9658764054737209,"D1
Highest"
2,45891,36850,0.8047754026512743,0.8029896929681201,D2
3,45891,23940,0.5254911879424173,0.521670915865856,D3
4,45892,10123,0.2155618643120175,0.22058310816700077,D4
5,45891,2549,0.05434887788948732,0.05554466017301867,D5
6,45891,662,0.014554205197189625,0.014425486478830272,D6
7,45892,219,0.005336588947809348,0.004772073564019872,D7
8,45891,96,0.0025091812080270445,0.002091913447081127,D8
9,45891,45,0.0013749504079589075,0.0009805844283192783,D9
10,45891,18,0.000732841263153298,0.0003922337713277113,"D10
Lowest"
